header,class,mechanism,group
gene:plasmid:14180,plasmid,plasmid,plasmid
gene:vir:108660,virulence,virulence,virulence
gene:vir:102333,virulence,virulence,virulence
gene:vir:4582,virulence,virulence,virulence
gene:plasmid:134798,plasmid,plasmid,plasmid
gene:proph:177798,prophage,prophage,prophage
gene:plasmid:119832,plasmid,plasmid,plasmid
gene:vir:2155,virulence,virulence,virulence
gene:proph:179590,prophage,prophage,prophage
gene:vir:2630,virulence,virulence,virulence
gene:vir:1389,virulence,virulence,virulence
gene:proph:177388,prophage,prophage,prophage
gene:plasmid:14083,plasmid,plasmid,plasmid
gene:plasmid:22407,plasmid,plasmid,plasmid
gene:vir:2147,virulence,virulence,virulence
gene:plasmid:156737,plasmid,plasmid,plasmid
gene:plasmid:30079,plasmid,plasmid,plasmid
gene:plasmid:81268,plasmid,plasmid,plasmid
gene:plasmid:149367,plasmid,plasmid,plasmid
gene:plasmid:122579,plasmid,plasmid,plasmid
gene:vir:1133,virulence,virulence,virulence
gene:proph:159708,prophage,prophage,prophage
gene:plasmid:22212,plasmid,plasmid,plasmid
gene:plasmid:139562,plasmid,plasmid,plasmid
gene:plasmid:14572,plasmid,plasmid,plasmid
gene:plasmid:22427,plasmid,plasmid,plasmid
gene:plasmid:21339,plasmid,plasmid,plasmid
gene:plasmid:97815,plasmid,plasmid,plasmid
gene:plasmid:14535,plasmid,plasmid,plasmid
gene:plasmid:110784,plasmid,plasmid,plasmid
gene:plasmid:152669,plasmid,plasmid,plasmid
gene:plasmid:120667,plasmid,plasmid,plasmid
gene:plasmid:17036,plasmid,plasmid,plasmid
gene:plasmid:30119,plasmid,plasmid,plasmid
gene:plasmid:17139,plasmid,plasmid,plasmid
gene:proph:173676,prophage,prophage,prophage
gene:vir:96569,virulence,virulence,virulence
gene:vir:102132,virulence,virulence,virulence
gene:proph:177404,prophage,prophage,prophage
gene:plasmid:21083,plasmid,plasmid,plasmid
gene:plasmid:127463,plasmid,plasmid,plasmid
gene:plasmid:13882,plasmid,plasmid,plasmid
gene:plasmid:14545,plasmid,plasmid,plasmid
gene:plasmid:13520,plasmid,plasmid,plasmid
gene:plasmid:119488,plasmid,plasmid,plasmid
gene:proph:177769,prophage,prophage,prophage
gene:plasmid:152670,plasmid,plasmid,plasmid
gene:plasmid:117293,plasmid,plasmid,plasmid
gene:plasmid:114472,plasmid,plasmid,plasmid
gene:proph:177805,prophage,prophage,prophage
gene:vir:101240,virulence,virulence,virulence
gene:plasmid:21020,plasmid,plasmid,plasmid
gene:plasmid:14536,plasmid,plasmid,plasmid
gene:proph:177858,prophage,prophage,prophage
gene:vir:102271,virulence,virulence,virulence
gene:vir:108637,virulence,virulence,virulence
gene:plasmid:14186,plasmid,plasmid,plasmid
gene:plasmid:154338,plasmid,plasmid,plasmid
gene:plasmid:110283,plasmid,plasmid,plasmid
gene:proph:159666,prophage,prophage,prophage
gene:plasmid:158552,plasmid,plasmid,plasmid
gene:vir:7312,virulence,virulence,virulence
gene:plasmid:152789,plasmid,plasmid,plasmid
gene:plasmid:130100,plasmid,plasmid,plasmid
gene:plasmid:152259,plasmid,plasmid,plasmid
gene:plasmid:124028,plasmid,plasmid,plasmid
gene:plasmid:30136,plasmid,plasmid,plasmid
gene:plasmid:14546,plasmid,plasmid,plasmid
gene:plasmid:122151,plasmid,plasmid,plasmid
gene:plasmid:14621,plasmid,plasmid,plasmid
gene:plasmid:109669,plasmid,plasmid,plasmid
gene:plasmid:150025,plasmid,plasmid,plasmid
gene:proph:168519,prophage,prophage,prophage
gene:plasmid:117662,plasmid,plasmid,plasmid
gene:proph:177875,prophage,prophage,prophage
gene:vir:96670,virulence,virulence,virulence
gene:plasmid:22531,plasmid,plasmid,plasmid
gene:plasmid:22423,plasmid,plasmid,plasmid
gene:plasmid:90634,plasmid,plasmid,plasmid
gene:plasmid:122244,plasmid,plasmid,plasmid
gene:plasmid:90297,plasmid,plasmid,plasmid
gene:plasmid:22676,plasmid,plasmid,plasmid
gene:plasmid:14181,plasmid,plasmid,plasmid
gene:plasmid:21015,plasmid,plasmid,plasmid
gene:vir:108757,virulence,virulence,virulence
gene:plasmid:152271,plasmid,plasmid,plasmid
gene:plasmid:14166,plasmid,plasmid,plasmid
gene:proph:165192,prophage,prophage,prophage
gene:plasmid:114187,plasmid,plasmid,plasmid
gene:plasmid:15306,plasmid,plasmid,plasmid
gene:proph:182927,prophage,prophage,prophage
gene:plasmid:145632,plasmid,plasmid,plasmid
gene:plasmid:22187,plasmid,plasmid,plasmid
gene:vir:109039,virulence,virulence,virulence
gene:proph:173606,prophage,prophage,prophage
gene:plasmid:90586,plasmid,plasmid,plasmid
gene:plasmid:22099,plasmid,plasmid,plasmid
gene:plasmid:14552,plasmid,plasmid,plasmid
gene:plasmid:139560,plasmid,plasmid,plasmid
gene:plasmid:21977,plasmid,plasmid,plasmid
gene:plasmid:14613,plasmid,plasmid,plasmid
gene:vir:1740,virulence,virulence,virulence
gene:proph:165204,prophage,prophage,prophage
gene:plasmid:87165,plasmid,plasmid,plasmid
gene:proph:177301,prophage,prophage,prophage
gene:vir:80864,virulence,virulence,virulence
gene:vir:108528,virulence,virulence,virulence
gene:vir:103723,virulence,virulence,virulence
gene:plasmid:15804,plasmid,plasmid,plasmid
gene:plasmid:13312,plasmid,plasmid,plasmid
gene:vir:101633,virulence,virulence,virulence
gene:vir:108616,virulence,virulence,virulence
gene:plasmid:120143,plasmid,plasmid,plasmid
gene:plasmid:152690,plasmid,plasmid,plasmid
gene:plasmid:13561,plasmid,plasmid,plasmid
gene:proph:184194,prophage,prophage,prophage
gene:vir:4567,virulence,virulence,virulence
gene:plasmid:154427,plasmid,plasmid,plasmid
gene:plasmid:124935,plasmid,plasmid,plasmid
gene:plasmid:136786,plasmid,plasmid,plasmid
gene:vir:106066,virulence,virulence,virulence
gene:plasmid:13544,plasmid,plasmid,plasmid
gene:plasmid:154475,plasmid,plasmid,plasmid
gene:plasmid:153680,plasmid,plasmid,plasmid
gene:vir:96623,virulence,virulence,virulence
gene:plasmid:22649,plasmid,plasmid,plasmid
gene:plasmid:22073,plasmid,plasmid,plasmid
gene:plasmid:131330,plasmid,plasmid,plasmid
gene:proph:177300,prophage,prophage,prophage
gene:plasmid:135616,plasmid,plasmid,plasmid
gene:vir:108628,virulence,virulence,virulence
gene:plasmid:21818,plasmid,plasmid,plasmid
gene:plasmid:21228,plasmid,plasmid,plasmid
gene:proph:176073,prophage,prophage,prophage
gene:vir:95720,virulence,virulence,virulence
gene:plasmid:151696,plasmid,plasmid,plasmid
gene:vir:78887,virulence,virulence,virulence
gene:proph:177801,prophage,prophage,prophage
gene:plasmid:13454,plasmid,plasmid,plasmid
gene:plasmid:13789,plasmid,plasmid,plasmid
gene:plasmid:21276,plasmid,plasmid,plasmid
gene:plasmid:22071,plasmid,plasmid,plasmid
gene:vir:100372,virulence,virulence,virulence
gene:plasmid:13101,plasmid,plasmid,plasmid
gene:vir:105167,virulence,virulence,virulence
gene:plasmid:122430,plasmid,plasmid,plasmid
gene:proph:176835,prophage,prophage,prophage
gene:plasmid:14574,plasmid,plasmid,plasmid
gene:proph:177299,prophage,prophage,prophage
gene:proph:173656,prophage,prophage,prophage
gene:plasmid:134556,plasmid,plasmid,plasmid
gene:plasmid:123346,plasmid,plasmid,plasmid
gene:plasmid:14538,plasmid,plasmid,plasmid
gene:plasmid:143391,plasmid,plasmid,plasmid
gene:plasmid:122706,plasmid,plasmid,plasmid
gene:plasmid:124904,plasmid,plasmid,plasmid
gene:plasmid:127485,plasmid,plasmid,plasmid
gene:vir:106076,virulence,virulence,virulence
gene:vir:102923,virulence,virulence,virulence
gene:plasmid:15430,plasmid,plasmid,plasmid
gene:proph:165031,prophage,prophage,prophage
gene:plasmid:147567,plasmid,plasmid,plasmid
gene:plasmid:154144,plasmid,plasmid,plasmid
gene:vir:99708,virulence,virulence,virulence
gene:proph:175649,prophage,prophage,prophage
gene:plasmid:87038,plasmid,plasmid,plasmid
gene:plasmid:130633,plasmid,plasmid,plasmid
gene:plasmid:127480,plasmid,plasmid,plasmid
gene:proph:177255,prophage,prophage,prophage
gene:plasmid:124871,plasmid,plasmid,plasmid
gene:plasmid:136313,plasmid,plasmid,plasmid
gene:vir:1394,virulence,virulence,virulence
gene:vir:108640,virulence,virulence,virulence
gene:vir:108556,virulence,virulence,virulence
gene:plasmid:152258,plasmid,plasmid,plasmid
gene:plasmid:123497,plasmid,plasmid,plasmid
gene:plasmid:149985,plasmid,plasmid,plasmid
gene:plasmid:142738,plasmid,plasmid,plasmid
gene:plasmid:154506,plasmid,plasmid,plasmid
gene:plasmid:150872,plasmid,plasmid,plasmid
gene:plasmid:122683,plasmid,plasmid,plasmid
gene:plasmid:84005,plasmid,plasmid,plasmid
gene:plasmid:119000,plasmid,plasmid,plasmid
gene:vir:108439,virulence,virulence,virulence
gene:plasmid:135971,plasmid,plasmid,plasmid
gene:plasmid:14331,plasmid,plasmid,plasmid
gene:plasmid:13512,plasmid,plasmid,plasmid
gene:proph:159213,prophage,prophage,prophage
gene:plasmid:153666,plasmid,plasmid,plasmid
gene:vir:102146,virulence,virulence,virulence
gene:plasmid:17141,plasmid,plasmid,plasmid
gene:plasmid:158915,plasmid,plasmid,plasmid
gene:proph:174350,prophage,prophage,prophage
gene:proph:179094,prophage,prophage,prophage
gene:vir:4312,virulence,virulence,virulence
gene:plasmid:21333,plasmid,plasmid,plasmid
gene:plasmid:152795,plasmid,plasmid,plasmid
gene:proph:174583,prophage,prophage,prophage
gene:plasmid:17312,plasmid,plasmid,plasmid
gene:proph:177709,prophage,prophage,prophage
gene:plasmid:124869,plasmid,plasmid,plasmid
gene:plasmid:154425,plasmid,plasmid,plasmid
gene:plasmid:22510,plasmid,plasmid,plasmid
gene:plasmid:22611,plasmid,plasmid,plasmid
gene:plasmid:122446,plasmid,plasmid,plasmid
gene:plasmid:14004,plasmid,plasmid,plasmid
gene:plasmid:116534,plasmid,plasmid,plasmid
gene:vir:1418,virulence,virulence,virulence
gene:vir:108615,virulence,virulence,virulence
gene:plasmid:126376,plasmid,plasmid,plasmid
gene:proph:166044,prophage,prophage,prophage
gene:vir:108768,virulence,virulence,virulence
gene:plasmid:86357,plasmid,plasmid,plasmid
gene:vir:80830,virulence,virulence,virulence
gene:proph:181846,prophage,prophage,prophage
gene:plasmid:21392,plasmid,plasmid,plasmid
gene:plasmid:22377,plasmid,plasmid,plasmid
gene:vir:1043,virulence,virulence,virulence
gene:plasmid:91662,plasmid,plasmid,plasmid
gene:plasmid:134393,plasmid,plasmid,plasmid
gene:vir:96329,virulence,virulence,virulence
gene:proph:179568,prophage,prophage,prophage
gene:proph:174803,prophage,prophage,prophage
gene:vir:6954,virulence,virulence,virulence
gene:plasmid:145219,plasmid,plasmid,plasmid
gene:vir:98581,virulence,virulence,virulence
gene:plasmid:142163,plasmid,plasmid,plasmid
gene:vir:105117,virulence,virulence,virulence
gene:plasmid:124752,plasmid,plasmid,plasmid
gene:plasmid:21093,plasmid,plasmid,plasmid
gene:plasmid:14055,plasmid,plasmid,plasmid
gene:plasmid:14120,plasmid,plasmid,plasmid
gene:vir:78874,virulence,virulence,virulence
gene:plasmid:22223,plasmid,plasmid,plasmid
gene:plasmid:19384,plasmid,plasmid,plasmid
gene:plasmid:17306,plasmid,plasmid,plasmid
gene:plasmid:157788,plasmid,plasmid,plasmid
gene:plasmid:141200,plasmid,plasmid,plasmid
gene:plasmid:90628,plasmid,plasmid,plasmid
gene:plasmid:22227,plasmid,plasmid,plasmid
gene:plasmid:22290,plasmid,plasmid,plasmid
gene:proph:179552,prophage,prophage,prophage
gene:plasmid:13325,plasmid,plasmid,plasmid
gene:plasmid:22597,plasmid,plasmid,plasmid
gene:plasmid:112299,plasmid,plasmid,plasmid
gene:plasmid:14534,plasmid,plasmid,plasmid
gene:vir:2933,virulence,virulence,virulence
gene:plasmid:21835,plasmid,plasmid,plasmid
gene:proph:170429,prophage,prophage,prophage
gene:vir:101603,virulence,virulence,virulence
gene:plasmid:84012,plasmid,plasmid,plasmid
gene:plasmid:150166,plasmid,plasmid,plasmid
gene:proph:177335,prophage,prophage,prophage
gene:vir:108758,virulence,virulence,virulence
gene:plasmid:140948,plasmid,plasmid,plasmid
gene:plasmid:21679,plasmid,plasmid,plasmid
gene:plasmid:14568,plasmid,plasmid,plasmid
gene:plasmid:151393,plasmid,plasmid,plasmid
gene:plasmid:22651,plasmid,plasmid,plasmid
gene:plasmid:22142,plasmid,plasmid,plasmid
gene:plasmid:13440,plasmid,plasmid,plasmid
gene:proph:177816,prophage,prophage,prophage
gene:proph:177768,prophage,prophage,prophage
gene:plasmid:131180,plasmid,plasmid,plasmid
gene:plasmid:22008,plasmid,plasmid,plasmid
gene:proph:174414,prophage,prophage,prophage
gene:proph:174593,prophage,prophage,prophage
gene:vir:99716,virulence,virulence,virulence
gene:plasmid:21720,plasmid,plasmid,plasmid
gene:plasmid:124829,plasmid,plasmid,plasmid
gene:vir:103714,virulence,virulence,virulence
gene:plasmid:16209,plasmid,plasmid,plasmid
gene:vir:2643,virulence,virulence,virulence
gene:plasmid:22201,plasmid,plasmid,plasmid
gene:proph:176913,prophage,prophage,prophage
gene:plasmid:110742,plasmid,plasmid,plasmid
gene:vir:108755,virulence,virulence,virulence
gene:plasmid:127461,plasmid,plasmid,plasmid
gene:plasmid:31230,plasmid,plasmid,plasmid
gene:plasmid:22126,plasmid,plasmid,plasmid
gene:plasmid:146150,plasmid,plasmid,plasmid
gene:plasmid:87059,plasmid,plasmid,plasmid
gene:plasmid:155313,plasmid,plasmid,plasmid
gene:plasmid:93378,plasmid,plasmid,plasmid
gene:plasmid:153677,plasmid,plasmid,plasmid
gene:plasmid:124077,plasmid,plasmid,plasmid
gene:plasmid:125195,plasmid,plasmid,plasmid
gene:plasmid:127073,plasmid,plasmid,plasmid
gene:plasmid:13585,plasmid,plasmid,plasmid
gene:plasmid:22198,plasmid,plasmid,plasmid
gene:plasmid:21363,plasmid,plasmid,plasmid
gene:plasmid:82869,plasmid,plasmid,plasmid
gene:plasmid:22519,plasmid,plasmid,plasmid
gene:proph:183676,prophage,prophage,prophage
gene:plasmid:19383,plasmid,plasmid,plasmid
gene:plasmid:22200,plasmid,plasmid,plasmid
gene:vir:97391,virulence,virulence,virulence
gene:proph:179555,prophage,prophage,prophage
gene:plasmid:21135,plasmid,plasmid,plasmid
gene:vir:103345,virulence,virulence,virulence
gene:vir:93869,virulence,virulence,virulence
gene:plasmid:22417,plasmid,plasmid,plasmid
gene:proph:174359,prophage,prophage,prophage
gene:vir:106074,virulence,virulence,virulence
gene:vir:108527,virulence,virulence,virulence
gene:proph:164996,prophage,prophage,prophage
gene:plasmid:133480,plasmid,plasmid,plasmid
gene:proph:160139,prophage,prophage,prophage
gene:proph:173655,prophage,prophage,prophage
gene:plasmid:14060,plasmid,plasmid,plasmid
gene:plasmid:127496,plasmid,plasmid,plasmid
gene:plasmid:22646,plasmid,plasmid,plasmid
gene:plasmid:141405,plasmid,plasmid,plasmid
gene:vir:105130,virulence,virulence,virulence
gene:plasmid:18065,plasmid,plasmid,plasmid
gene:plasmid:152643,plasmid,plasmid,plasmid
gene:vir:105661,virulence,virulence,virulence
gene:plasmid:18082,plasmid,plasmid,plasmid
gene:plasmid:21217,plasmid,plasmid,plasmid
gene:plasmid:13466,plasmid,plasmid,plasmid
gene:vir:1384,virulence,virulence,virulence
gene:plasmid:21396,plasmid,plasmid,plasmid
gene:vir:108519,virulence,virulence,virulence
gene:plasmid:135670,plasmid,plasmid,plasmid
gene:plasmid:126346,plasmid,plasmid,plasmid
gene:plasmid:148922,plasmid,plasmid,plasmid
gene:vir:2146,virulence,virulence,virulence
gene:plasmid:13499,plasmid,plasmid,plasmid
gene:vir:105191,virulence,virulence,virulence
gene:plasmid:28789,plasmid,plasmid,plasmid
gene:plasmid:124838,plasmid,plasmid,plasmid
gene:plasmid:152248,plasmid,plasmid,plasmid
gene:plasmid:27050,plasmid,plasmid,plasmid
gene:plasmid:21049,plasmid,plasmid,plasmid
gene:plasmid:21134,plasmid,plasmid,plasmid
gene:plasmid:17166,plasmid,plasmid,plasmid
gene:plasmid:149365,plasmid,plasmid,plasmid
gene:plasmid:21719,plasmid,plasmid,plasmid
gene:vir:108526,virulence,virulence,virulence
gene:plasmid:21031,plasmid,plasmid,plasmid
gene:plasmid:135681,plasmid,plasmid,plasmid
gene:vir:95969,virulence,virulence,virulence
gene:plasmid:21288,plasmid,plasmid,plasmid
gene:proph:179079,prophage,prophage,prophage
gene:plasmid:157690,plasmid,plasmid,plasmid
gene:proph:177380,prophage,prophage,prophage
gene:plasmid:109147,plasmid,plasmid,plasmid
gene:plasmid:135693,plasmid,plasmid,plasmid
gene:plasmid:21024,plasmid,plasmid,plasmid
gene:vir:79001,virulence,virulence,virulence
gene:plasmid:154254,plasmid,plasmid,plasmid
gene:proph:179100,prophage,prophage,prophage
gene:plasmid:14344,plasmid,plasmid,plasmid
gene:plasmid:87727,plasmid,plasmid,plasmid
gene:plasmid:21050,plasmid,plasmid,plasmid
gene:plasmid:136576,plasmid,plasmid,plasmid
gene:plasmid:155317,plasmid,plasmid,plasmid
gene:plasmid:153273,plasmid,plasmid,plasmid
gene:vir:102122,virulence,virulence,virulence
gene:plasmid:112248,plasmid,plasmid,plasmid
gene:plasmid:147484,plasmid,plasmid,plasmid
gene:plasmid:22279,plasmid,plasmid,plasmid
gene:proph:161356,prophage,prophage,prophage
gene:plasmid:124781,plasmid,plasmid,plasmid
gene:vir:106102,virulence,virulence,virulence
gene:plasmid:17106,plasmid,plasmid,plasmid
gene:plasmid:28593,plasmid,plasmid,plasmid
gene:plasmid:135597,plasmid,plasmid,plasmid
gene:plasmid:17177,plasmid,plasmid,plasmid
gene:vir:103724,virulence,virulence,virulence
gene:plasmid:152685,plasmid,plasmid,plasmid
gene:plasmid:14564,plasmid,plasmid,plasmid
gene:proph:177790,prophage,prophage,prophage
gene:plasmid:22233,plasmid,plasmid,plasmid
gene:plasmid:21084,plasmid,plasmid,plasmid
gene:plasmid:17243,plasmid,plasmid,plasmid
gene:plasmid:149764,plasmid,plasmid,plasmid
gene:vir:105175,virulence,virulence,virulence
gene:plasmid:21524,plasmid,plasmid,plasmid
gene:plasmid:152701,plasmid,plasmid,plasmid
gene:plasmid:19382,plasmid,plasmid,plasmid
gene:plasmid:84335,plasmid,plasmid,plasmid
gene:plasmid:153657,plasmid,plasmid,plasmid
gene:vir:108614,virulence,virulence,virulence
gene:plasmid:13478,plasmid,plasmid,plasmid
gene:proph:177713,prophage,prophage,prophage
gene:plasmid:135596,plasmid,plasmid,plasmid
gene:plasmid:93374,plasmid,plasmid,plasmid
gene:plasmid:14620,plasmid,plasmid,plasmid
gene:plasmid:21687,plasmid,plasmid,plasmid
gene:plasmid:21254,plasmid,plasmid,plasmid
gene:vir:8355,virulence,virulence,virulence
gene:vir:95649,virulence,virulence,virulence
gene:vir:2642,virulence,virulence,virulence
gene:plasmid:22612,plasmid,plasmid,plasmid
gene:vir:100914,virulence,virulence,virulence
gene:vir:99712,virulence,virulence,virulence
gene:vir:2148,virulence,virulence,virulence
gene:plasmid:21260,plasmid,plasmid,plasmid
gene:plasmid:124916,plasmid,plasmid,plasmid
gene:plasmid:135594,plasmid,plasmid,plasmid
gene:plasmid:21744,plasmid,plasmid,plasmid
gene:plasmid:120668,plasmid,plasmid,plasmid
gene:vir:101614,virulence,virulence,virulence
gene:plasmid:145369,plasmid,plasmid,plasmid
gene:plasmid:15304,plasmid,plasmid,plasmid
gene:vir:108722,virulence,virulence,virulence
gene:plasmid:28903,plasmid,plasmid,plasmid
gene:plasmid:21388,plasmid,plasmid,plasmid
gene:plasmid:15617,plasmid,plasmid,plasmid
gene:proph:177877,prophage,prophage,prophage
gene:plasmid:17241,plasmid,plasmid,plasmid
gene:plasmid:19379,plasmid,plasmid,plasmid
gene:plasmid:13371,plasmid,plasmid,plasmid
gene:proph:168502,prophage,prophage,prophage
gene:plasmid:13352,plasmid,plasmid,plasmid
gene:vir:99713,virulence,virulence,virulence
gene:proph:172550,prophage,prophage,prophage
gene:vir:102287,virulence,virulence,virulence
gene:vir:101641,virulence,virulence,virulence
gene:plasmid:15663,plasmid,plasmid,plasmid
gene:proph:179085,prophage,prophage,prophage
gene:plasmid:92654,plasmid,plasmid,plasmid
gene:plasmid:120666,plasmid,plasmid,plasmid
